"SAL_AP" "SAL_AST" "SAL_ALL" "NUM_AP" "NUM_AST" "NUM_TOT"
325 274 298 17 28 75
390 309 390 121 102 397
347 324 333 21 21 67
353 305 306 11 17 50
348 312 342 31 33 115
327 235 337 62 18 130
340 297 349 43 29 137
431 361 439 237 272 895
383 339 383 22 24 74
348 282 315 20 25 65
410 374 445 154 164 591
