"Carnegie" "Sal_asst" "FICE" "Name" "State" "Carnegie_code" "Sal_full" "Sal_assoc" "Sal_all" "Comp_full" "Comp_assoc" "Comp_asst" "Comp_all" "N_full" "N_assoc" "N_asst" "N_instr" "Num_tot"
2 330 1707 "Lewis University" "IL" "IIA" "467" "392" 357 "561" "481" "407" 437 37 20 29 52 138
1 433 1710 "Loyola Univ. of Chicago" "IL" "I" "761" "536" 570 "924" "664" "536" 701 164 230 163 6 563
3 250 1717 "MacMurray College" "IL" "IIB" "324" "263" 262 "393" "334" "307" 318 13 9 16 31 69
3 341 1722 "McKendree College" "IL" "IIB" "433" "397" 381 "539" "493" "407" 467 16 10 16 5 47
3 313 1724 "Millikin University" "IL" "IIB" "478" "409" 386 "583" "501" "383" 472 34 38 46 6 124
3 325 1725 "Monmouth College" "IL" "IIB" "443" "339" 381 "544" "412" "385" 464 20 12 11 1 44
2 337 1733 "National-Louis University" "IL" "IIA" "490" "405" 348 "566" "472" "394" 405 20 51 120 23 253
3 348 1734 "North Central College" "IL" "IIB" "473" "399" 398 "588" "501" "437" 497 24 40 28 5 97
3 285 1735 "North Park College" "IL" "IIB" "415" "337" 339 "540" "426" "352" 431 23 18 18 2 65
1 375 1737 "Northern Illinois University" "IL" "I" "578" "435" 440 "667" "509" "443" 515 314 266 246 112 944
1 496 1739 "Northwestern University" "IL" "I" "860" "596" 712 "1045" "735" "602" 868 460 209 203 0 872
2 278 1741 "Olivet Nazarene University" "IL" "IIA" "391" "335" 320 "476" "412" "346" 395 26 22 36 8 92
3 345 1744 "Principia College" "IL" "IIB" "465" "400" 395 "572" "540" "414" 490 20 9 13 7 49
3 285 1745 "Quincy University" "IL" "IIB" "372" "371" 345 "459" "462" "351" 427 18 21 14 2 55
2 359 1749 "Roosevelt University" "IL" "IIA" "484" "405" 416 "610" "517" "464" 531 50 58 42 2 152
3 377 1750 "Rosary College" "IL" "IIB" "448" "378" 382 "543" "479" "454" 468 10 25 34 3 72
1 359 1758 "Southern Ill.Univ-Carbondale" "IL" "I" "564" "436" 422 "657" "517" "431" 500 272 255 313 33 977
2 389 1759 "Southern Ill.Univ-Edwardsvle" "IL" "IIA" "531" "442" 453 "616" "520" "462" 531 168 126 95 24 421
2 315 1767 "Illinois Benedictine College" "IL" "IIA" "463" "395" 409 "576" "493" "403" 511 38 36 17 0 91
2 388 1768 "Saint Xavier University" "IL" "IIA" "551" "452" 439 "667" "548" "471" 531 22 78 53 6 159
3 291 1772 "Trinity College" "IL" "IIB" "*" "346" 320 "*" "406" "347" 377 5 11 13 2 31
1 515 1774 "University of Chicago" "IL" "I" "894" "586" 742 "1104" "724" "636" 916 467 138 161 36 802
1 421 1775 "Univ. of Illinois-Urbana" "IL" "I" "682" "493" 570 "783" "574" "494" 659 927 520 393 1 1868
1 411 1776 "Univ. of Illinois-Chicago" "IL" "I" "656" "476" 513 "755" "555" "483" 596 401 369 296 20 1135
2 350 1780 "Western Illinois University" "IL" "IIA" "506" "427" 421 "587" "500" "414" 493 241 171 123 62 606
2 368 1781 "Wheaton College" "IL" "IIA" "510" "437" 452 "640" "569" "461" 574 67 54 32 3 156
3 396 3970 "Parks Coll.of St.Louis Univ." "IL" "IIB" "576" "540" 487 "694" "660" "480" 591 15 12 16 4 47
2 370 9333 "Sangamon State University" "IL" "IIA" "499" "437" 433 "594" "516" "447" 516 50 62 46 5 163
3 316 1785 "Anderson University" "IN" "IIB" "415" "340" 347 "532" "427" "389" 437 43 45 36 14 138
1 332 1786 "Ball State University" "IN" "I" "517" "410" 384 "666" "537" "438" 501 297 160 350 155 965
3 285 1787 "Bethel College" "IN" "IIB" "*" "*" 295 "*" "*" "363" 376 5 4 26 1 36
2 366 1788 "Butler University" "IN" "IIA" "521" "442" 439 "650" "551" "447" 544 72 66 77 3 220
3 361 1792 "DePauw University" "IN" "IIB" "540" "433" 452 "695" "570" "465" 587 51 57 38 0 146
3 338 1793 "Earlham College" "IN" "IIB" "514" "394" 445 "639" "483" "414" 551 44 13 22 0 79
2 351 1795 "University of Evansville" "IN" "IIA" "500" "415" 414 "602" "505" "415" 496 57 43 58 4 170
3 325 1798 "Franklin College of Indiana" "IN" "IIB" "440" "363" 381 "549" "453" "411" 477 24 16 20 0 60
3 291 1799 "Goshen College" "IN" "IIB" "388" "341" 345 "479" "410" "344" 418 37 19 28 0 84
3 228 1800 "Grace College" "IN" "IIB" "326" "264" 285 "439" "372" "334" 395 14 11 6 0 31
3 377 1801 "Hanover College" "IN" "IIB" "555" "437" 432 "682" "539" "455" 524 28 16 35 13 92
3 305 1803 "Huntington College" "IN" "IIB" "438" "367" 358 "544" "455" "379" 444 11 11 13 3 38
2 358 1804 "University of Indianapolis" "IN" "IIA" "487" "408" 382 "620" "515" "433" 469 16 38 52 19 125
2 377 1808 "Univ. of Southern Indiana" "IN" "IIA" "493" "421" 384 "636" "545" "477" 491 35 38 58 50 181
1 399 1809 "Indiana Univ.-Bloomington" "IN" "I" "674" "479" 540 "852" "615" "507" 685 624 344 305 1 1361
3 327 1811 "Indiana Univ.-East" "IN" "IIB" "*" "405" 341 "*" "529" "424" 443 5 12 24 0 59
2 340 1812 "Indiana-Purdue U.-Fort Wayne" "IN" "IIA" "498" "408" 385 "648" "534" "444" 503 53 106 123 15 303
2 405 1813 "Indiana Univ.-Indianapolis" "IN" "IIA" "643" "469" 469 "820" "604" "514" 599 170 217 215 1 688
3 380 1814 "Indiana Univ. at Kokomo" "IN" "IIB" "519" "432" 397 "665" "548" "482" 504 13 21 29 0 81
2 355 1815 "Indiana Univ.-Northwest" "IN" "IIA" "544" "446" 410 "694" "575" "449" 522 25 63 33 0 152
2 391 1816 "Indiana Univ. at South Bend" "IN" "IIA" "544" "445" 420 "696" "571" "495" 537 32 56 57 0 175
2 369 1817 "Indiana Univ.-Southeast" "IN" "IIA" "529" "408" 422 "679" "526" "470" 540 41 24 42 0 125
3 289 1820 "Manchester College" "IN" "IIB" "412" "340" 340 "527" "416" "348" 420 24 22 17 11 74
3 303 1821 "Marian College" "IN" "IIB" "420" "329" 330 "520" "411" "379" 411 15 23 34 5 79
3 294 1822 "Indiana Wesleyan University" "IN" "IIB" "396" "342" 335 "492" "431" "367" 418 22 23 34 2 81
3 252 1824 "Oakland City College" "IN" "IIB" "*" "282" 269 "*" "340" "314" 328 3 11 10 4 28
1 423 1825 "Purdue Univ.-Main Campus" "IN" "I" "721" "485" 562 "920" "631" "548" 722 603 411 400 29 1443
2 364 1827 "Purdue University-Calumet" "IN" "IIA" "519" "413" 405 "677" "541" "479" 530 47 105 74 21 247
3 447 1830 "Rose-Hulman Inst. of Tech." "IN" "IIB" "608" "522" 549 "797" "679" "568" 715 51 29 21 0 101
3 313 1832 "Saint Francis College" "IN" "IIB" "*" "334" 316 "*" "393" "371" 373 3 8 21 5 37
3 312 1833 "Saint Joseph's College" "IN" "IIB" "373" "374" 344 "486" "478" "400" 443 13 12 19 1 45
3 235 1834 "Calumet College of St.Joseph" "IN" "IIB" "324" "264" 265 "426" "350" "316" 353 6 6 9 2 23
3 199 1835 "Saint Mary-of-the-Woods Coll" "IN" "IIB" "307" "234" 232 "382" "295" "246" 290 11 11 18 4 44
3 331 1836 "Saint Mary's College" "IN" "IIB" "524" "391" 388 "675" "509" "435" 505 21 43 52 1 117
3 NA 1837 "Saint Meinrad College" "IN" "IIB" "357" "*" 332 "405" "*" "*" 376 6 3 5 1 15
3 300 1838 "Taylor University" "IN" "IIB" "404" "352" 355 "555" "486" "382" 480 36 31 25 3 95
3 291 1839 "Tri-State University" "IN" "IIB" "395" "324" 340 "485" "395" "356" 415 23 28 10 3 64
1 470 1840 "University of Notre Dame" "IN" "I" "798" "562" 637 "985" "701" "573" 787 274 195 164 11 644
2 372 1842 "Valparaiso University" "IN" "IIA" "559" "423" 446 "681" "525" "459" 548 67 58 74 5 204
3 371 1844 "Wabash College" "IN" "IIB" "612" "474" 501 "770" "602" "482" 637 31 22 20 1 74
1 343 9563 "Indiana State University" "IN" "I" "500" "394" 423 "647" "513" "438" 545 248 133 151 16 548
3 288 1903 "Baker University" "KS" "IIB" "369" "318" 327 "443" "396" "346" 397 18 18 16 0 52
3 248 1904 "Bethany College" "KS" "IIB" "335" "280" 281 "415" "360" "308" 350 16 9 24 2 51
3 267 1905 "Bethel College" "KS" "IIB" "325" "285" 285 "408" "356" "336" 358 16 19 8 5 48
2 325 1915 "Fort Hays State University" "KS" "IIA" "446" "378" 377 "556" "475" "412" 474 84 56 71 21 232
2 331 1926 "Pittsburg State University" "KS" "IIA" "450" "381" 375 "567" "484" "425" 477 103 76 70 4 291
2 330 1927 "Emporia State University" "KS" "IIA" "435" "390" 367 "553" "499" "427" 471 67 67 78 26 238
1 368 1928 "Kansas State University" "KS" "I" "550" "419" 440 "686" "530" "466" 554 305 231 259 63 858
3 265 1929 "Kansas Wesleyan University" "KS" "IIB" "337" "290" 293 "394" "343" "299" 340 11 14 10 3 38
3 254 1933 "McPherson College" "KS" "IIB" "318" "274" 272 "397" "353" "313" 342 7 16 11 3 37
3 264 1937 "Ottawa University" "KS" "IIB" "338" "292" 284 "410" "348" "309" 338 13 12 22 8 55
3 278 1940 "Southwestern College" "KS" "IIB" "340" "318" 311 "415" "388" "341" 380 16 10 10 3 39
3 261 1943 "Saint Mary College" "KS" "IIB" "336" "301" 282 "390" "358" "313" 335 10 11 15 5 43
3 222 1946 "Tabor College" "KS" "IIB" "304" "*" 257 "385" "*" "282" 326 8 5 8 3 24
1 367 1948 "University of Kansas-Main" "KS" "I" "579" "422" 485 "714" "529" "458" 603 474 297 204 6 981
2 333 1949 "Washburn University" "KS" "IIA" "594" "438" 457 "719" "540" "416" 561 76 55 59 11 201
2 361 1950 "Wichita State University" "KS" "IIA" "555" "417" 415 "679" "518" "450" 514 101 154 188 24 467
3 265 7032 "Mid-America Nazarene College" "KS" "IIB" "371" "305" 300 "457" "378" "329" 372 18 12 24 6 60
3 278 10256 "Benedictine College" "KS" "IIB" "335" "316" 296 "374" "368" "327" 342 11 16 16 7 50
2 326 1954 "Bellarmine College" "KY" "IIA" "473" "385" 394 "583" "480" "396" 482 32 18 27 7 84
3 355 1955 "Berea College" "KY" "IIB" "552" "428" 436 "675" "518" "421" 525 32 43 31 6 112
3 273 1958 "Brescia College" "KY" "IIB" "*" "322" 299 "*" "390" "324" 357 4 10 14 4 32
3 252 1959 "Campbellsville College" "KY" "IIB" "342" "278" 277 "422" "350" "318" 347 12 11 16 7 46
3 289 1960 "Spalding University" "KY" "IIB" "359" "315" 313 "416" "370" "333" 363 15 22 26 3 66
3 351 1961 "Centre College" "KY" "IIB" "521" "418" 431 "653" "514" "423" 532 27 21 21 4 73
3 272 1962 "Cumberland College" "KY" "IIB" "354" "291" 286 "438" "362" "337" 355 17 23 32 20 97
2 371 1963 "Eastern Kentucky University" "KY" "IIA" "519" "439" 442 "648" "551" "468" 555 237 135 185 29 586
3 297 1964 "Georgetown College" "KY" "IIB" "398" "338" 343 "493" "418" "352" 420 29 18 19 6 72
3 329 1968 "Kentucky State University" "KY" "IIB" "460" "403" 377 "576" "505" "416" 474 26 35 52 5 118
3 292 1969 "Kentucky Wesleyan College" "KY" "IIB" "383" "326" 327 "474" "404" "358" 405 17 18 11 5 51
3 278 1972 "Lindsey Wilson College" "KY" "IIB" "*" "359" 294 "*" "427" "331" 349 2 7 11 18 38
2 322 1976 "Morehead State University" "KY" "IIA" "478" "395" 373 "600" "498" "410" 472 87 89 123 37 336
2 342 1977 "Murray State University" "KY" "IIA" "462" "396" 383 "601" "520" "451" 503 95 101 101 7 336
3 275 1980 "Pikeville College" "KY" "IIB" "359" "314" 304 "434" "377" "332" 367 8 25 15 3 51
3 318 1987 "Transylvania University" "KY" "IIB" "447" "393" 384 "627" "526" "424" 521 18 25 18 2 63
3 255 1988 "Union College" "KY" "IIB" "314" "287" 277 "383" "353" "304" 335 11 20 8 9 48
1 418 1989 "University of Kentucky" "KY" "I" "634" "473" 521 "760" "574" "504" 628 470 416 308 6 1200
1 368 1999 "University of Louisville" "KY" "I" "584" "442" 476 "715" "547" "449" 584 276 208 169 12 674
3 277 2001 "Thomas More College" "KY" "IIB" "352" "324" 312 "432" "394" "345" 382 12 30 18 1 62
2 347 2002 "Western Kentucky University" "KY" "IIA" "485" "408" 413 "613" "517" "442" 524 223 135 144 43 553
2 350 9275 "Northern Kentucky University" "KY" "IIA" "506" "427" 388 "623" "529" "432" 478 83 96 90 14 341
3 324 2003 "Centenary College of La." "LA" "IIB" "499" "380" 412 "625" "468" "396" 512 28 20 16 2 66
3 342 2004 "Dillard University" "LA" "IIB" "494" "373" 350 "567" "437" "398" 406 8 15 59 10 96
3 316 2005 "Nicholls State University" "LA" "IIB" "440" "361" 338 "535" "439" "385" 412 72 67 82 40 286
2 329 2006 "Grambling State University" "LA" "IIA" "442" "392" 349 "491" "437" "369" 391 48 48 124 45 265
3 308 2007 "Louisiana College" "LA" "IIB" "375" "324" 338 "484" "427" "401" 440 25 13 18 4 60
2 344 2008 "Louisiana Tech University" "LA" "IIA" "472" "408" 391 "549" "494" "418" 467 129 93 131 36 389
1 379 2010 "Louisiana St.Univ.and A&M C." "LA" "I" "594" "437" 464 "711" "527" "461" 559 561 387 313 178 1439
2 337 2013 "Louisiana St.Univ.Shreveport" "LA" "IIA" "458" "414" 385 "539" "498" "403" 458 53 37 48 18 156
2 352 2015 "University of New Orleans" "LA" "IIA" "512" "378" 404 "609" "453" "423" 483 199 128 116 67 510
2 393 2016 "Loyola University" "LA" "IIA" "593" "451" 476 "728" "560" "482" 587 77 103 45 2 241
2 323 2017 "McNeese State University" "LA" "IIA" "456" "374" 363 "554" "458" "398" 446 76 77 104 33 290
2 325 2020 "Northeast Louisiana Univ." "LA" "IIA" "459" "376" 343 "559" "458" "396" 418 88 102 159 100 449
2 312 2021 "Northwestern State Univ." "LA" "IIA" "418" "360" 335 "500" "432" "375" 403 44 47 98 34 223
3 325 2023 "Our Lady of Holy Cross Coll." "LA" "IIB" "*" "306" 314 "*" "378" "400" 385 1 9 9 6 25
2 329 2024 "Southeastern Louisiana Univ." "LA" "IIA" "468" "405" 348 "566" "486" "398" 421 68 68 163 90 389
3 298 2026 "Southern Univ.at New Orleans" "LA" "IIB" "406" "329" 320 "487" "397" "361" 387 23 22 64 11 120
1 418 2029 "Tulane University" "LA" "I" "713" "514" 564 "876" "646" "514" 699 172 166 115 3 456
1 359 2031 "Univ. Southwestern Louisiana" "LA" "I" "533" "409" 402 "633" "493" "434" 483 147 136 167 98 548
2 332 2032 "Xavier University of La." "LA" "IIA" "459" "389" 352 "546" "456" "386" 413 37 41 91 34 203
2 336 9636 "Southern Univ.A&M Coll.-Main" "LA" "IIA" "455" "392" 367 "538" "464" "398" 434 100 88 210 48 446
3 425 2115 "Amherst College" "MA" "IIB" "726" "516" 610 "917" "661" "546" 774 87 23 43 0 153
3 318 2117 "Anna Maria College" "MA" "IIB" "407" "364" 341 "499" "470" "377" 416 6 9 14 4 33
3 325 2118 "Assumption College" "MA" "IIB" "479" "400" 385 "610" "518" "413" 492 22 42 40 3 107
3 326 2120 "Merrimack College" "MA" "IIB" "507" "393" 395 "652" "518" "407" 510 24 63 38 0 125
3 557 2121 "Babson College" "MA" "IIB" "787" "613" 633 "975" "769" "700" 790 31 45 31 3 119
2 493 2124 "Bentley College" "MA" "IIA" "717" "566" 575 "894" "708" "599" 712 48 84 56 10 198
3 329 2126 "Berklee College of Music" "MA" "IIB" "504" "402" 381 "605" "491" "405" 466 17 59 61 2 139
1 496 2128 "Boston College" "MA" "I" "784" "569" 614 "964" "717" "604" 761 165 245 126 10 556
3 310 2132 "Bradford College" "MA" "IIB" "447" "352" 346 "557" "450" "384" 435 9 18 8 6 41
1 403 2133 "Brandeis University" "MA" "I" "687" "493" 550 "859" "619" "496" 686 142 71 40 3 299
2 395 2139 "Clark University" "MA" "IIA" "664" "469" 522 "822" "593" "488" 651 58 64 38 0 160
3 305 2140 "Coll.of Our Lady of the Elms" "MA" "IIB" "431" "353" 342 "524" "429" "371" 415 10 18 19 5 52
3 406 2141 "College of the Holy Cross" "MA" "IIB" "695" "506" 519 "875" "627" "500" 644 44 84 54 4 186
2 386 2146 "Emerson College" "MA" "IIA" "669" "502" 488 "874" "652" "494" 632 21 33 35 3 92
3 319 2153 "Gordon College" "MA" "IIB" "432" "352" 381 "578" "467" "424" 505 35 18 13 5 71
1 500 2155 "Harvard University" "MA" "I" "100" "559" 793 "1236" "723" "653" 989 654 149 255 8 1172
3 322 2158 "Lasell College" "MA" "IIB" "*" "336" 320 "*" "403" "389" 387 3 7 13 4 27
1 464 2161 "Univ. of Mass. at Lowell" "MA" "I" "664" "539" 587 "805" "662" "577" 717 223 191 52 10 476
1 528 2178 "Massachusetts Inst. of Tech." "MA" "I" "903" "637" 757 "1124" "806" "678" 951 583 177 164 36 989
2 400 2183 "Bridgewater State College" "MA" "IIA" "517" "440" 468 "672" "583" "542" 617 144 53 41 17 255
2 395 2184 "Fitchburg State College" "MA" "IIA" "512" "429" 444 "644" "540" "501" 560 87 56 70 11 224
3 361 2187 "North Adams State College" "MA" "IIB" "510" "394" 428 "642" "507" "468" 546 34 34 21 2 91
2 378 2189 "Westfield State College" "MA" "IIA" "523" "419" 457 "662" "530" "478" 578 79 46 44 0 169
2 370 2190 "Worcester State College" "MA" "IIA" "528" "456" 463 "669" "585" "483" 593 81 44 30 13 168
3 400 2192 "Mount Holyoke College" "MA" "IIB" "694" "505" 541 "866" "645" "496" 678 73 47 51 3 191
1 460 2199 "Northeastern University" "MA" "I" "688" "525" 543 "880" "689" "599" 705 236 260 176 0 730
3 345 2206 "Regis College" "MA" "IIB" "504" "425" 407 "627" "542" "426" 513 9 20 14 1 46
2 386 2208 "Simmons College" "MA" "IIA" "589" "471" 477 "724" "592" "482" 593 54 54 53 6 167
2 405 2209 "Smith College" "MA" "IIA" "732" "514" 591 "932" "646" "502" 747 127 70 59 6 262
2 420 2210 "Univ. of Mass.-Dartmouth" "MA" "IIA" "572" "482" 526 "722" "611" "535" 665 203 61 32 1 321
2 321 2211 "Springfield College" "MA" "IIA" "520" "404" 376 "643" "501" "399" 467 34 45 78 17 174
3 354 2217 "Stonehill College" "MA" "IIB" "513" "428" 423 "657" "541" "458" 539 24 56 36 0 116
2 484 2218 "Suffolk University" "MA" "IIA" "727" "548" 611 "925" "706" "599" 777 111 73 33 15 232
1 447 2219 "Tufts University" "MA" "I" "735" "549" 592 "964" "710" "607" 777 148 157 98 2 405
1 438 2221 "Univ. Massachussets-Amherst" "MA" "I" "704" "537" 607 "880" "680" "557" 762 650 306 146 7 1172
2 445 2222 "Univ. Massachusetts-Boston" "MA" "IIA" "656" "543" 549 "813" "679" "563" 686 154 186 100 1 473
3 453 2224 "Wellesley College" "MA" "IIB" "757" "550" 603 "988" "712" "570" 779 97 44 74 4 222
2 437 2226 "Western New England College" "MA" "IIA" "659" "497" 543 "823" "632" "545" 682 54 42 29 6 131
3 357 2227 "Wheaton College" "MA" "IIB" "602" "435" 486 "740" "539" "448" 601 44 16 25 6 91
2 362 2228 "Wheelock College" "MA" "IIA" "545" "420" 415 "662" "518" "433" 505 8 20 20 1 49
3 417 2229 "Williams College" "MA" "IIB" "707" "503" 543 "923" "669" "566" 719 77 36 88 0 213
2 451 2233 "Worcester Polytechnic Inst." "MA" "IIA" "659" "527" 546 "842" "680" "557" 693 75 70 58 4 212
3 NA 1436 "Capitol College" "MD" "IIB" "*" "344" 352 "*" "406" "*" 416 5 7 5 0 17
2 349 2062 "Bowie State University" "MD" "IIA" "510" "433" 401 "647" "554" "452" 515 31 28 51 14 127
3 309 2065 "College of Notre Dame of Md." "MD" "IIB" "443" "377" 362 "493" "441" "365" 419 19 25 29 3 76
3 293 2067 "Columbia Union College" "MD" "IIB" "308" "297" 296 "344" "329" "325" 329 17 9 11 5 42
3 366 2068 "Coppin State College" "MD" "IIB" "557" "435" 431 "707" "559" "476" 554 26 32 36 4 103
2 366 2072 "Frostburg State University" "MD" "IIA" "498" "423" 416 "646" "538" "468" 530 76 56 70 8 228
3 358 2073 "Goucher College" "MD" "IIB" "529" "387" 411 "661" "489" "452" 518 21 27 23 4 75
2 352 2076 "Hood College" "MD" "IIA" "516" "425" 402 "665" "530" "434" 502 14 21 40 1 76
1 435 2077 "Johns Hopkins University" "MD" "I" "798" "542" 593 "972" "677" "551" 734 330 110 160 52 767
2 397 2078 "Loyola College in Maryland" "MD" "IIA" "632" "500" 482 "802" "640" "511" 617 50 76 89 5 222
2 439 2083 "Morgan State University" "MD" "IIA" "594" "517" 450 "743" "651" "558" 571 26 41 91 42 229
3 311 2086 "Mount Saint Mary's Coll.&Sem" "MD" "IIB" "465" "384" 358 "563" "487" "382" 448 14 29 34 4 85
2 357 2091 "Salisbury State University" "MD" "IIA" "543" "445" 404 "679" "562" "458" 513 54 63 78 8 240
3 NA 2092 "Saint John's College-Main" "MD" "IIB" "*" "*" 437 "*" "*" "*" 572 0 0 0 0 43
3 347 2095 "St.Mary's Coll.of Maryland" "MD" "IIB" "560" "426" 426 "686" "533" "430" 526 24 35 29 9 97
2 388 2099 "Towson State University" "MD" "IIA" "531" "433" 439 "692" "565" "505" 573 141 136 169 25 471
3 377 2101 "U. S. Naval Academy" "MD" "IIB" "595" "455" 492 "721" "556" "466" 600 125 100 67 7 299
2 490 2102 "University of Baltimore" "MD" "IIA" "680" "560" 582 "833" "693" "612" 719 62 50 54 0 166
1 406 2103 "Univ.of Maryland-Coll. Park" "MD" "I" "703" "487" 539 "865" "608" "505" 669 535 388 163 133 1285
1 395 2105 "Univ.of Maryland-Balto.Co." "MD" "I" "638" "455" 464 "783" "571" "491" 577 87 119 104 32 353
2 388 2106 "Univ.of Maryland-Estrn Shore" "MD" "IIA" "500" "455" 379 "630" "572" "493" 482 8 33 25 5 113
3 348 2108 "Washington College" "MD" "IIB" "496" "419" 443 "637" "532" "421" 562 33 12 15 0 60
3 313 2109 "Western Maryland College" "MD" "IIB" "477" "379" 412 "612" "489" "400" 530 36 30 10 3 79
3 302 2033 "Univ.of Maine at Presque Isl" "ME" "IIB" "439" "354" 343 "562" "453" "389" 440 15 19 25 4 67
3 404 2036 "Bates College" "ME" "IIB" "671" "490" 518 "824" "600" "494" 635 45 31 45 6 127
3 418 2038 "Bowdoin College" "ME" "IIB" "738" "527" 554 "918" "651" "503" 682 41 40 35 4 123
3 383 2039 "Colby College" "ME" "IIB" "745" "515" 524 "904" "622" "453" 629 43 33 60 4 140
3 292 2040 "Univ.of Maine at Farmington" "ME" "IIB" "464" "348" 385 "594" "448" "377" 496 47 26 13 14 101
3 320 2041 "Univ.of Maine at Fort Kent" "ME" "IIB" "436" "347" 356 "555" "442" "415" 456 9 10 12 2 33
3 302 2043 "Husson College" "ME" "IIB" "407" "358" 334 "454" "401" "338" 374 12 13 18 6 49
2 323 2050 "University of New England" "ME" "IIA" "450" "380" 354 "545" "468" "396" 434 11 22 39 4 76
3 283 2051 "Saint Joseph's College" "ME" "IIB" "*" "321" 295 "*" "391" "353" 370 4 8 33 0 45
3 297 2052 "Thomas College" "ME" "IIB" "*" "338" 318 "*" "404" "341" 374 2 7 8 0 17
1 366 2053 "Univ.of Maine at Orono" "ME" "I" "574" "436" 449 "716" "552" "463" 566 122 197 102 19 452
3 284 2055 "Univ.of Maine at Machias" "ME" "IIB" "465" "355" 360 "582" "459" "366" 462 7 24 8 0 39
3 261 6858 "Unity College" "ME" "IIB" "355" "261" 285 "418" "313" "313" 340 8 7 16 0 31
2 362 9762 "Univ.of Maine at Southern" "ME" "IIA" "584" "439" 459 "724" "558" "459" 578 78 144 61 7 291
3 316 2234 "Adrian College" "MI" "IIB" "439" "365" 386 "559" "466" "407" 493 37 8 14 7 66
3 346 2235 "Albion College" "MI" "IIB" "562" "443" 462 "716" "573" "437" 589 47 27 33 2 109
3 335 2236 "Alma College" "MI" "IIB" "523" "408" 422 "645" "515" "423" 527 25 27 21 2 75
3 275 2239 "Aquinas College" "MI" "IIB" "387" "313" 319 "491" "376" "331" 392 27 32 27 4 90
3 363 2241 "Calvin College" "MI" "IIB" "471" "410" 446 "604" "527" "461" 571 152 33 20 7 212
2 397 2243 "Central Michigan University" "MI" "IIA" "588" "460" 490 "768" "612" "534" 648 230 191 137 23 581
3 257 2247 "Concordia College" "MI" "IIB" "342" "304" 289 "428" "377" "340" 369 10 12 15 3 40
3 NA 2252 "William Tyndale College" "MI" "IIB" "309" "*" 295 "377" "*" "*" 362 1 2 4 0 7
2 389 2259 "Eastern Michigan University" "MI" "IIA" "560" "447" 462 "722" "590" "519" 605 318 171 160 17 729
2 409 2260 "Ferris State University" "MI" "IIA" "546" "470" 467 "713" "631" "566" 628 143 160 151 10 477
3 254 2266 "Grand Rapids Baptist College" "MI" "IIB" "353" "287" 283 "474" "376" "326" 371 9 19 12 4 44
3 387 2268 "Grand Valley State Univ." "MI" "IIB" "568" "479" 467 "726" "619" "508" 604 91 105 118 7 321
3 350 2273 "Hope College" "MI" "IIB" "515" "420" 443 "681" "559" "455" 585 70 49 38 2 159
3 352 2275 "Kalamazoo College" "MI" "IIB" "553" "440" 452 "696" "569" "440" 571 36 25 24 7 92
3 352 2282 "Madonna University" "MI" "IIB" "482" "395" 382 "576" "465" "430" 459 19 12 42 11 84
3 290 2284 "Marygrove College" "MI" "IIB" "433" "365" 348 "534" "450" "358" 429 7 26 13 3 49
1 413 2290 "Michigan State University" "MI" "I" "651" "493" 555 "843" "663" "569" 732 949 494 350 47 1840
2 420 2292 "Michigan Technological Univ." "MI" "IIA" "668" "482" 511 "854" "638" "563" 671 99 124 95 11 338
3 357 2293 "Lake Superior State Univ." "MI" "IIB" "510" "446" 422 "661" "596" "473" 557 32 35 38 7 112
2 347 2301 "Northern Michigan University" "MI" "IIA" "571" "459" 467 "749" "609" "468" 619 149 72 61 21 329
2 432 2307 "Oakland University" "MI" "IIA" "633" "518" 534 "831" "690" "582" 710 123 142 85 8 358
3 306 2308 "Olivet College" "MI" "IIB" "400" "*" 329 "487" "*" "357" 390 13 4 23 2 44
2 364 2314 "Saginaw Valley State Univ." "MI" "IIA" "499" "448" 446 "642" "586" "482" 580 91 40 29 6 174
3 300 2316 "Siena Heights College" "MI" "IIB" "*" "342" 325 "*" "443" "383" 418 2 31 23 1 57
3 284 2318 "Spring Arbor College" "MI" "IIB" "368" "321" 320 "455" "398" "370" 400 22 15 19 6 62
2 408 2326 "Univ.of Michigan-Dearborn" "MI" "IIA" "552" "452" 451 "701" "583" "531" 582 70 66 51 0 219
2 409 2327 "Univ.of Michigan-Flint" "MI" "IIA" "566" "460" 437 "708" "582" "522" 555 43 46 57 1 184
1 447 2329 "Wayne State University" "MI" "I" "683" "525" 535 "846" "664" "560" 669 317 267 216 8 925
1 396 2330 "Western Michigan University" "MI" "I" "603" "489" 502 "755" "620" "505" 633 285 233 189 24 731
3 370 4673 "Baker College of Flint" "MI" "IIB" "*" "*" 385 "*" "*" "481" 496 5 4 25 2 36
3 263 6771 "Center for Creative Studies" "MI" "IIB" "401" "333" 360 "489" "413" "331" 442 29 11 6 2 48
1 460 9092 "Univ.of Michigan-Ann Arbor" "MI" "I" "777" "577" 605 "955" "731" "595" 760 850 419 472 9 1968
3 314 2334 "Augsburg College" "MN" "IIB" "432" "356" 357 "559" "449" "387" 450 35 29 58 1 123
2 341 2336 "Bemidji State University" "MN" "IIA" "490" "403" 419 "629" "520" "443" 539 91 40 50 11 192
3 394 2340 "Carleton College" "MN" "IIB" "638" "486" 521 "807" "604" "505" 659 68 36 45 4 155
3 334 2341 "College of Saint Benedict" "MN" "IIB" "493" "404" 381 "595" "512" "405" 468 18 50 47 8 125
